part_number,manufacturer,condition,price,lead_time,vendor,location,quantity 
EP6001-0002,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,151,7-10 Days,Greinert & Glatt,Europe,5
EP7041-3102,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,179,7-10 Days,Greinert & Glatt,Europe,5
ES5001,BECKHOFF,NEW SURPLUS,105,7-10 Days,Greinert & Glatt,Europe,5
IE2808,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,70,7-10 Days,Greinert & Glatt,Europe,5
IE4132,BECKHOFF,REFURBISHED,74,7-10 Days,Greinert & Glatt,Europe,5
IE5109,BECKHOFF,NEW SURPLUS,157,7-10 Days,Greinert & Glatt,Europe,5
IL2302-B200,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,189,7-10 Days,Greinert & Glatt,Europe,5
IP2301-B318,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,168,7-10 Days,Greinert & Glatt,Europe,5
IP2302-B310,BECKHOFF,REFURBISHED,64,7-10 Days,Greinert & Glatt,Europe,5
KL1002,BECKHOFF,REFURBISHED,5.1,7-10 Days,Greinert & Glatt,Europe,5
KL1012,BECKHOFF,REFURBISHED,5.1,7-10 Days,Greinert & Glatt,Europe,5
KL1212,BECKHOFF,NEW SURPLUS,23.5,7-10 Days,Greinert & Glatt,Europe,5
KL1722,BECKHOFF,NEW SURPLUS,17.3,7-10 Days,Greinert & Glatt,Europe,5
KL2012,BECKHOFF,NEW SURPLUS,15.7,7-10 Days,Greinert & Glatt,Europe,5
KL2012,BECKHOFF,REFURBISHED,7.1,7-10 Days,Greinert & Glatt,Europe,5
KL2114,BECKHOFF,NEW SURPLUS,22.5,7-10 Days,Greinert & Glatt,Europe,5
KL2114,BECKHOFF,REFURBISHED,10.2,7-10 Days,Greinert & Glatt,Europe,5
KL2712,BECKHOFF,NEW SURPLUS,31,7-10 Days,Greinert & Glatt,Europe,5
KL3012,BECKHOFF,NEW SURPLUS,95,7-10 Days,Greinert & Glatt,Europe,5
KL3052,BECKHOFF,NEW SURPLUS,85,7-10 Days,Greinert & Glatt,Europe,5
KL3361,BECKHOFF,NEW SURPLUS,141,7-10 Days,Greinert & Glatt,Europe,5
KL5101-1100,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,130,7-10 Days,Greinert & Glatt,Europe,5
KL6001,BECKHOFF,NEW SURPLUS,119,7-10 Days,Greinert & Glatt,Europe,5
KL6001,BECKHOFF,REFURBISHED,54,7-10 Days,Greinert & Glatt,Europe,5
KL9150,BECKHOFF,NEW SURPLUS,10.9,7-10 Days,Greinert & Glatt,Europe,5
KL9515,BECKHOFF,NEW SURPLUS,38.5,7-10 Days,Greinert & Glatt,Europe,5
KS9100,BECKHOFF,NEW SURPLUS,9.4,7-10 Days,Greinert & Glatt,Europe,5
KS9186,BECKHOFF,NEW SURPLUS,9.3,7-10 Days,Greinert & Glatt,Europe,5
ZK1031-6354-1020,BECKHOFF,NEW SURPLUS,20.5,7-10 Days,Greinert & Glatt,Europe,5
ZK1031-6354-1050,BECKHOFF,NEW SURPLUS,24,7-10 Days,Greinert & Glatt,Europe,5
ZK1031-6354-1150,BECKHOFF,NEW SURPLUS,41.5,7-10 Days,Greinert & Glatt,Europe,5
ZK1090-0101-1002,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,2,7-10 Days,Greinert & Glatt,Europe,5
ZK7102-AC00-0035,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,38,7-10 Days,Greinert & Glatt,Europe,5
ZS1000-1610,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,5.2,7-10 Days,Greinert & Glatt,Europe,5
ZS2020-2820,BECKHOFF,NEW SURPLUS IN SEALED PACKAGING,11.8,7-10 Days,Greinert & Glatt,Europe,5
821300932,BOSCH REXROTH,NEW SURPLUS IN SEALED PACKAGING,75,7-10 Days,Greinert & Glatt,Europe,5
822032001,BOSCH REXROTH,NEW SURPLUS IN SEALED PACKAGING,25,7-10 Days,Greinert & Glatt,Europe,5
822033203,BOSCH REXROTH,NEW SURPLUS IN SEALED PACKAGING,69,7-10 Days,Greinert & Glatt,Europe,5
2650122040,BOSCH REXROTH,NEW SURPLUS,12,7-10 Days,Greinert & Glatt,Europe,5
8941054054,BOSCH REXROTH,NEW SURPLUS IN SEALED PACKAGING,13,7-10 Days,Greinert & Glatt,Europe,5
OV-201T-PU6,CAPTRON,NEW SURPLUS,25,7-10 Days,Greinert & Glatt,Europe,5
OV-210T-PU6,CAPTRON,NEW SURPLUS IN SEALED PACKAGING,30,7-10 Days,Greinert & Glatt,Europe,5
OV-210T-PU6,CAPTRON,NEW SURPLUS,25,7-10 Days,Greinert & Glatt,Europe,5
UCL-16DI.D1,CEGELEC,REFURBISHED,22.5,7-10 Days,Greinert & Glatt,Europe,5
UCL-32.DI.D1,CEGELEC,REFURBISHED,26,7-10 Days,Greinert & Glatt,Europe,5
UCM-91.912/918,CEGELEC,REFURBISHED,27,7-10 Days,Greinert & Glatt,Europe,5
UCM-93.924,CEGELEC,REFURBISHED,19,7-10 Days,Greinert & Glatt,Europe,5
UCR-24IOA/2C0430.D6,CEGELEC,REFURBISHED,39,7-10 Days,Greinert & Glatt,Europe,5
UCR-24IOA/B0430.D6,CEGELEC,REFURBISHED,39,7-10 Days,Greinert & Glatt,Europe,5
UCR-24IOC/C0430.D6,CEGELEC,REFURBISHED,39,7-10 Days,Greinert & Glatt,Europe,5
UCR-28IO/C0230.D6,CEGELEC,REFURBISHED,39,7-10 Days,Greinert & Glatt,Europe,5
UCR-28IO/C0460.D6,CEGELEC,REFURBISHED,39,7-10 Days,Greinert & Glatt,Europe,5
UCR-8DIO/C0460.P1,CEGELEC,REFURBISHED,29,7-10 Days,Greinert & Glatt,Europe,5
IPT204,CET,NEW SURPLUS,306,7-10 Days,Greinert & Glatt,Europe,5
53676,DOLD,NEW SURPLUS IN SEALED PACKAGING,99,7-10 Days,Greinert & Glatt,Europe,5
300524,EKS,REFURBISHED,22,7-10 Days,Greinert & Glatt,Europe,5
2.423.430.00,ENTRELEC SCHIELE,REFURBISHED,2.5,7-10 Days,Greinert & Glatt,Europe,5
2.423.435.00,ENTRELEC SCHIELE,REFURBISHED,32.5,7-10 Days,Greinert & Glatt,Europe,5
2.423.436.00,ENTRELEC SCHIELE,NEW SURPLUS,75,7-10 Days,Greinert & Glatt,Europe,5
2.423.436.00,ENTRELEC SCHIELE,REFURBISHED,23,7-10 Days,Greinert & Glatt,Europe,5
2.423.451.00,ENTRELEC SCHIELE,REFURBISHED,5,7-10 Days,Greinert & Glatt,Europe,5
2.426.461.00,ENTRELEC SCHIELE,NEW SURPLUS,46,7-10 Days,Greinert & Glatt,Europe,5
2.426.461.00,ENTRELEC SCHIELE,REFURBISHED,22,7-10 Days,Greinert & Glatt,Europe,5
2.426.463.00,ENTRELEC SCHIELE,REFURBISHED,7,7-10 Days,Greinert & Glatt,Europe,5
2.426.470.00,ENTRELEC SCHIELE,REFURBISHED,13,7-10 Days,Greinert & Glatt,Europe,5
2.426.471.00,ENTRELEC SCHIELE,REFURBISHED,13,7-10 Days,Greinert & Glatt,Europe,5
2.426.473.00,ENTRELEC SCHIELE,REFURBISHED,13,7-10 Days,Greinert & Glatt,Europe,5
EKS-A-IDX-G01-ST09/03,EUCHNER,NEW SURPLUS,450,7-10 Days,Greinert & Glatt,Europe,5
10P-10-8B-FB-R-Y-8C-TH,FESTO,NEW SURPLUS,630,7-10 Days,Greinert & Glatt,Europe,5
3013388,FESTO,NEW SURPLUS,554,7-10 Days,Greinert & Glatt,Europe,5
ACK-3/8-PK-9,FESTO,NEW SURPLUS IN SEALED PACKAGING,11,7-10 Days,Greinert & Glatt,Europe,5
ADN-12-10-I-P-A,FESTO,NEW SURPLUS,21.5,7-10 Days,Greinert & Glatt,Europe,5
ADN-16-40-I-P-A,FESTO,NEW SURPLUS,14,7-10 Days,Greinert & Glatt,Europe,5
ADN-32-15-A-P-A,FESTO,NEW SURPLUS IN SEALED PACKAGING,51,7-10 Days,Greinert & Glatt,Europe,5
ADN-32-60-A-P-A,FESTO,NEW SURPLUS,37,7-10 Days,Greinert & Glatt,Europe,5
ADN-40-25-I-P-A,FESTO,NEW SURPLUS,40.5,7-10 Days,Greinert & Glatt,Europe,5
ADN-50-10-A-P-A,FESTO,NEW SURPLUS,20,7-10 Days,Greinert & Glatt,Europe,5
ADN-50-15-I-P-A,FESTO,NEW SURPLUS,45,7-10 Days,Greinert & Glatt,Europe,5
ADN-80-20-A-P-A,FESTO,NEW SURPLUS,73,7-10 Days,Greinert & Glatt,Europe,5
ADNGF-12-5-P-A,FESTO,NEW SURPLUS,37,7-10 Days,Greinert & Glatt,Europe,5
ADVC-16-20-I-P-A,FESTO,NEW SURPLUS,26,7-10 Days,Greinert & Glatt,Europe,5
ADVC-16-25-A-P-A,FESTO,NEW SURPLUS IN SEALED PACKAGING,14,7-10 Days,Greinert & Glatt,Europe,5
ADVC-20-25-I-P-A,FESTO,NEW SURPLUS,28,7-10 Days,Greinert & Glatt,Europe,5
ADVC-20-5-I-P,FESTO,NEW SURPLUS IN SEALED PACKAGING,25.5,7-10 Days,Greinert & Glatt,Europe,5
ADVC-6-5-A-P-A,FESTO,NEW SURPLUS,11,7-10 Days,Greinert & Glatt,Europe,5
ADVU-100-40-P-A,FESTO,NEW SURPLUS,80,7-10 Days,Greinert & Glatt,Europe,5
ADVU-12-10-P-A-S2,FESTO,NEW SURPLUS,56,7-10 Days,Greinert & Glatt,Europe,5
ADVU-12-20-A-P-A,FESTO,NEW SURPLUS,20,7-10 Days,Greinert & Glatt,Europe,5
ADVU-12-30-P-A,FESTO,NEW SURPLUS,52,7-10 Days,Greinert & Glatt,Europe,5
ADVU-16-25-P-A,FESTO,NEW SURPLUS,54,7-10 Days,Greinert & Glatt,Europe,5
ADVU-16-5-P-A,FESTO,NEW SURPLUS,52,7-10 Days,Greinert & Glatt,Europe,5
ADVU-20-10-A-P-A-S2,FESTO,NEW SURPLUS,64,7-10 Days,Greinert & Glatt,Europe,5
ADVU-20-25-P-A,FESTO,NEW SURPLUS,13,7-10 Days,Greinert & Glatt,Europe,5
ADVU-20-40-A-P-A,FESTO,NEW SURPLUS,19,7-10 Days,Greinert & Glatt,Europe,5
ADVU-25-10-A-P-A,FESTO,NEW SURPLUS,62,7-10 Days,Greinert & Glatt,Europe,5
ADVU-25-10-P-A-S2,FESTO,NEW SURPLUS IN SEALED PACKAGING,80,7-10 Days,Greinert & Glatt,Europe,5
ADVU-25-15-P-A,FESTO,NEW SURPLUS,63,7-10 Days,Greinert & Glatt,Europe,5
ADVU-25-20-A-P-A,FESTO,NEW SURPLUS,20,7-10 Days,Greinert & Glatt,Europe,5
ADVU-25-20-P-A,FESTO,NEW SURPLUS,25,7-10 Days,Greinert & Glatt,Europe,5
ADVU-25-30-A-P-A,FESTO,NEW SURPLUS,20,7-10 Days,Greinert & Glatt,Europe,5
ADVU-25-40-P-A,FESTO,NEW SURPLUS,68,7-10 Days,Greinert & Glatt,Europe,5
ADVU-25-50-A-P-A,FESTO,NEW SURPLUS,71,7-10 Days,Greinert & Glatt,Europe,5
ADVU-32-10-P-A,FESTO,NEW SURPLUS,16,7-10 Days,Greinert & Glatt,Europe,5
ADVU-32-20-P-A,FESTO,NEW SURPLUS,25,7-10 Days,Greinert & Glatt,Europe,5
ADVU-32-30-A-P-A,FESTO,NEW SURPLUS,15,7-10 Days,Greinert & Glatt,Europe,5
ADVU-32-40-P-A,FESTO,NEW SURPLUS,79,7-10 Days,Greinert & Glatt,Europe,5
ADVU-32-80-P-A,FESTO,NEW SURPLUS,95,7-10 Days,Greinert & Glatt,Europe,5
ADVU-40-20-A-P-A,FESTO,NEW SURPLUS,94,7-10 Days,Greinert & Glatt,Europe,5
